"rASS" "lASS" "rAl" "lAL" "Sa" "S1b" "S2b" "LSb" "C" "rIL" "rIS" "rp" "rAC" "rPS" "rASOS" "lIL" "lIS" "lp" "lAC" "lPS" "lASOS"
"rASS" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"lASS" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"rAl" 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"lAL" 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sa" 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"S1b" 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"S2b" 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LSb" 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"C" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"rIL" 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0
"rIS" 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0
"rp" 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0
"rAC" 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
"rPS" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
"rASOS" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"lIL" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1
"lIS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0
"lp" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0
"lAC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0
"lPS" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"lASOS" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
