"V1" "V2"
384 99
381 286
368 0
368 47
339 23
402 61
337 66
370 382
372 340
337 346
398 320
339 307
417.5 155
494.5 155
583.5 155
431.5 88.9999999999999
432.5 304
462.5 89
463.5 303
787.5 91
787.5 301
752.5 91
752.5 301
493.5 91
523.5 91
555.5 90
588.5 89
621.5 89
655.5 87
687.5 87
719.5 89
493.5 303
524.5 301
557.5 301
590.5 300
621.5 300
654.5 299
685.5 299
718.5 300
254 253
189 216
249 192
230 220
278 223
280 192
310 225
311 193
341 224
341 192
371 225
370.5 193
403 226
401.5 193
434 225
432.5 193
466 225
463.5 193
495.5 225
493.5 192
527.5 224
524.5 192
557.5 222
556.5 190
590.5 221
589.5 188
623.5 221
621.5 188
655.5 219
654.5 187
687.5 219
686.5 187
720.5 220
719.5 186
752.5 218
752.5 184
787.5 218
785.5 184
819.5 219
818.5 184
850.5 220
849.5 184
881.5 220
880.5 184
911.5 220
910.5 185
943.5 220
942.5 187
1005 118
1007 291
1005 151
1005 258
1004 185
974.5 220
1005.5 219
1041 219
1075 219
1080 102
1158 82
1130 164
1120 108
1130 199
1040 107
1074 322
1140 360
1128 272
1112 325
1130 236
1037 310
