"V1" "V2"
157 530
285 531
185.016264169542 536.217115689382
253.412518482011 535.328050713154
259.180877279448 508.656101426307
217.978314440611 562
217.978314440611 533.549920760697
220.450468210941 505.099841521395
221.274519467718 475.760697305864
132.27698373583 482.873217115689
142.165598817151 425.973058637084
185.840315426318 451.755942947702
152.878265155249 451.755942947702
211.385904386397 450.866877971474
142 506
314.392311483489 486.429477020602
302.855593888615 423.305863708399
261.653031049778 452.64500792393
295.439132577624 453.534072900158
236.107442089699 449.977812995246
310 513
119.916214884179 449.088748019017
102.611138491868 425.083993660856
102.611138491868 397.522979397781
103.435189748645 369.072900158479
100.963035978314 338.844690966719
128.980778708724 316.618066561014
329.225234105471 447.310618066561
347.354361754559 425.973058637084
347.354361754559 397.522979397781
347.354361754559 369.072900158479
347.354361754559 340.622820919176
313 310
102.611138491868 305.949286846276
102.611138491868 274.832012678288
102.611138491868 246.381933438986
103.435189748645 217.931854199683
349 309
349 276
349 243
349 210
72.9452932479054 276.610142630745
74.5933957614589 248.160063391442
76.2414982750123 219.709984152139
383 274
384 240
386 207
92 186
67 163
60 133
98 155
90 125
118 127
143 145
366 184
391 163
411 137
357 160
379 130
352 131
324 143
155 117
130 98
96 92
65 97
36 110
308 116
341 102
373 100
403 101
435 115
167 84
131 66
97 61
60 64
29 79
132 33
98 31
59 33
24 49
173 50
135 2
98 0
60 3
22 13
308 84
340 71
374 69
405 71
436 83
340 38
375 39
407 41
438 51
307 55
338 8
379 7
407 11
439 19
