"V1" "V2"
"1" 27.1215023055847 263.093180426427
"2" 35.1136362422241 287.032544164518
"3" 45.9330699565204 309.834017694703
"4" 65 341
"5" 93 361
"6" 128 385
"7" 166 405
"8" 207 411
"9" 251 413
"10" 293 405
"11" 333 391
"12" 360 377
"13" 399 363
"14" 419 329
"15" 436 298
"16" 438 257
"17" 439 201
"18" 436 160
"19" 430 121
"20" 419 79
"21" 389 43
"22" 349 21
"23" 309 1
"24" 268 0
"25" 228 4
"26" 180 13
"27" 134 23
"28" 94 45
"29" 64 81
"30" 42 119
"31" 27 161
"32" 23 205
"33" 335 197
"34" 332 165
"35" 312 134
"36" 284 114
"37" 252 111
"38" 216 113
"39" 184 121
"40" 159 145
"41" 130 166
"42" 120 201
"43" 344 262
"44" 333 293
"45" 309 322
"46" 278 341
"47" 243 349
"48" 207 348
"49" 175 332
"50" 141 302
"51" 128 276
"52" 118 251
