#Osteological assement:Biological Profile
#Pop ID=EG001:Pop Name=Test Population:Investigator=AJNicholson
#Date Created= 2016-10-12 11:38:31 :Program=BioProfileV2.0
#Fields:ID,Investigator,date,Ancestry3, Ancestry2,Epiphysis Score,Phase Score,4th Rib,Sutures,Pelvic non-metric traits,Preauricular sulcus,Cranial non-metric traits,Pelvis metrics,Post-cranial metrics,Cranial metrics
#AN3:orbit,nRoot,LNB,palate,profile,nwidth:Eu,Af,As,U
AN2:BR,VS,PBD,SI,nBridge,LEB,nSpine,fShape,mMarks,Jaw:T,F,U
#EScore:pRadius,dFibula,dTibia,dFemur,pFibula,acromion,iliac,hHead,fHead,lTrochanter,pTibia,gTrochanter,dradius,s3s5,s2s3,s1s2,clavicle,SOS:hex
#PScore:Todd,Suchey-Brookes,Lovejoy:alphanumeric,seeB$U1994
#Rib:S,SC,RE,RC:alphanumeric,seeByers2010
#S:ML,L,O,AS,B,P,MC,SF,IST,SST:NA,0,1,2,3
#PNM:va,spc,ipr,sn,pas,pShape,iiShape,pInlet,pShape,spAngle,OF,sShape:0-3,0-5,m/f/NA
#CNM:NC,MP,SOM,G,ME,Chin,cSize,flare,flex,gAngle:0-5,m/f/NA
#PM:pLength,pLength2,iLength,iLength2,aWidth:numeric
#PCM:sHeight,gHeight,hHead,rHead,FHead:numeric
#CM:mxLength,mxBreadth,BaBr,BaNa,zBreadth,BaPr,NaAl,pBreadth,mLength:numeric
"ID" "In" "D" "AN3" "AN2" "EScore" "PScore" "Rib" "S" "PNM" "CNM" "PM" "PCM" "CM"
"P001" "AJN" "2016-10-12_11:38:48" "Eu:Af:Eu:Eu:Eu:As" "F:F:F:F:T:F:F:F:T:T" "00000" "p3:p4:p4" "p5:p3:p3/p4/p5/p6:p3" "1:2:1:1:2:2:1:1:1:1" "1:3:1:1:2:f:f:NA:f:NA:NA:f" "2:2:3:3:3:NA:NA:f:f:f" "86.13:89.6:52.71:47.86:48.25" 165 "NA:NA:NA:NA:NA:NA:NA:NA:NA"
"P001" "AJN" "2016-10-12_11:38:48" "Eu:Af:Eu:Eu:Eu:As" "F:F:F:F:T:F:F:F:T:T" "00000" "p3:p4:p4" "p5:p3:p3/p4/p5/p6:p3" "1:2:1:1:2:2:1:1:1:1" "1:3:1:1:2:f:f:NA:f:NA:NA:f" "2:2:3:3:3:NA:NA:f:f:f" "86.13:89.6:52.71:47.86:48.25" 35 "NA:NA:NA:NA:NA:NA:NA:NA:NA"
"P001" "AJN" "2016-10-12_11:38:48" "Eu:Af:Eu:Eu:Eu:As" "F:F:F:F:T:F:F:F:T:T" "00000" "p3:p4:p4" "p5:p3:p3/p4/p5/p6:p3" "1:2:1:1:2:2:1:1:1:1" "1:3:1:1:2:f:f:NA:f:NA:NA:f" "2:2:3:3:3:NA:NA:f:f:f" "86.13:89.6:52.71:47.86:48.25" 45 "NA:NA:NA:NA:NA:NA:NA:NA:NA"
"P001" "AJN" "2016-10-12_11:38:48" "Eu:Af:Eu:Eu:Eu:As" "F:F:F:F:T:F:F:F:T:T" "00000" "p3:p4:p4" "p5:p3:p3/p4/p5/p6:p3" "1:2:1:1:2:2:1:1:1:1" "1:3:1:1:2:f:f:NA:f:NA:NA:f" "2:2:3:3:3:NA:NA:f:f:f" "86.13:89.6:52.71:47.86:48.25" 20.56 "NA:NA:NA:NA:NA:NA:NA:NA:NA"
"P001" "AJN" "2016-10-12_11:38:48" "Eu:Af:Eu:Eu:Eu:As" "F:F:F:F:T:F:F:F:T:T" "00000" "p3:p4:p4" "p5:p3:p3/p4/p5/p6:p3" "1:2:1:1:2:2:1:1:1:1" "1:3:1:1:2:f:f:NA:f:NA:NA:f" "2:2:3:3:3:NA:NA:f:f:f" "86.13:89.6:52.71:47.86:48.25" 42.5 "NA:NA:NA:NA:NA:NA:NA:NA:NA"
"P002" "AJN" "2016-10-12_11:47:48" "Eu:Eu:As:Eu:Eu:As" "F:F:F:F:T:F:T:F:T:T" "00000" "p7:p5:p5" "p6:p4:p3/p4/p5/p6:p4/p5/p6" "3:3:2:3:2:2:2:2:3:3" "1:1:2:1:2:f:m:NA:f:f:f:NA" "1:2:1:2:3:f:f:m:f:f" "78.07:89.27:58.64:49.98:50.06" 165 "NA:NA:NA:NA:NA:NA:NA:NA:NA"
"P002" "AJN" "2016-10-12_11:47:48" "Eu:Eu:As:Eu:Eu:As" "F:F:F:F:T:F:T:F:T:T" "00000" "p7:p5:p5" "p6:p4:p3/p4/p5/p6:p4/p5/p6" "3:3:2:3:2:2:2:2:3:3" "1:1:2:1:2:f:m:NA:f:f:f:NA" "1:2:1:2:3:f:f:m:f:f" "78.07:89.27:58.64:49.98:50.06" 32.1 "NA:NA:NA:NA:NA:NA:NA:NA:NA"
"P002" "AJN" "2016-10-12_11:47:48" "Eu:Eu:As:Eu:Eu:As" "F:F:F:F:T:F:T:F:T:T" "00000" "p7:p5:p5" "p6:p4:p3/p4/p5/p6:p4/p5/p6" "3:3:2:3:2:2:2:2:3:3" "1:1:2:1:2:f:m:NA:f:f:f:NA" "1:2:1:2:3:f:f:m:f:f" "78.07:89.27:58.64:49.98:50.06" 39.5 "NA:NA:NA:NA:NA:NA:NA:NA:NA"
"P002" "AJN" "2016-10-12_11:47:48" "Eu:Eu:As:Eu:Eu:As" "F:F:F:F:T:F:T:F:T:T" "00000" "p7:p5:p5" "p6:p4:p3/p4/p5/p6:p4/p5/p6" "3:3:2:3:2:2:2:2:3:3" "1:1:2:1:2:f:m:NA:f:f:f:NA" "1:2:1:2:3:f:f:m:f:f" "78.07:89.27:58.64:49.98:50.06" 19.5 "NA:NA:NA:NA:NA:NA:NA:NA:NA"
"P002" "AJN" "2016-10-12_11:47:48" "Eu:Eu:As:Eu:Eu:As" "F:F:F:F:T:F:T:F:T:T" "00000" "p7:p5:p5" "p6:p4:p3/p4/p5/p6:p4/p5/p6" "3:3:2:3:2:2:2:2:3:3" "1:1:2:1:2:f:m:NA:f:f:f:NA" "1:2:1:2:3:f:f:m:f:f" "78.07:89.27:58.64:49.98:50.06" 42.5 "NA:NA:NA:NA:NA:NA:NA:NA:NA"
